,title_id,movie_id,imdb_title,netflix_title
0,tt0440751,5,The Rise & Fall of ECW,The Rise and Fall of ECW
1,tt0399877,8,What the #$*! Do We (K)now!?,What the #$*! Do We Know!?
2,tt0247232,19,By Dawn's Early Light,By Dawn's Early Light
3,tt0255851,29,Boycott,Boycott
4,tt0166252,45,The Love Letter,The Love Letter
5,tt0045317,54,We're Not Married!,We're Not Married
6,tt0114279,57,Richard III,Richard III
7,tt0116136,58,DragonHeart,Dragonheart
8,tt0207377,89,Chain of Command,Chain of Command
9,tt0043733,90,The Lemon Drop Kid,The Lemon Drop Kid
10,tt0096989,99,A Fishy Story,A Fishy Story
11,tt0360845,102,Notre musique,Notre Musique
12,tt0325322,105,Obsessed,Obsessed
13,tt0098260,110,Scandal,Scandal
14,tt0050972,117,Silk Stockings,Silk Stockings
15,tt0082817,125,Nighthawks,Nighthawks
16,tt0119174,143,The Game,The Game
17,tt0230838,148,Sweet November,Sweet November
18,tt0113670,152,A Little Princess,A Little Princess
19,tt0080716,166,Fame,Fame
20,tt0353293,167,The Chest,The Chorus
21,tt0050419,171,Funny Face,Funny Face
22,tt0283559,177,Pressure,Pressure
23,tt0305747,181,The Last Summer,The Last Shot
24,tt0098251,190,Blood and Sand,Blood and Sand
25,tt0275408,201,Home Movie,Home Movie
26,tt0316732,273,Taxi,Taxi
27,tt0298856,275,Evelyn,Evelyn
28,tt0087718,279,Micki + Maude,Micki and Maude
29,tt0500095,280,Sarah Brightman in Concert,Sarah Brightman: In Concert
30,tt0061094,286,Thunderbirds Are GO,Thunderbirds Are Go
31,tt0118661,289,The Avengers,The Avengers
32,tt0366551,290,Harold & Kumar Go to White Castle,Harold and Kumar Go to White Castle
33,tt0320193,294,Oasis,Oasis
34,tt0116669,305,Jack,Jack
35,tt0146882,312,High Fidelity,High Fidelity
36,tt0109259,318,Beyond Suspicion,Beyond Suspicion
37,tt0082367,335,Fear No Evil,Fear No Evil
38,tt0061407,344,The Taming of the Shrew,The Taming of the Shrew
39,tt0286152,363,Stark Raving Mad,Stark Raving Mad
40,tt0151121,372,Jeans,Jeans
41,tt0320244,378,Party Monster,Party Monster
42,tt0090888,384,Crossroads,Crossroads
43,tt0082362,390,The Fan,The Fan
44,tt0026174,395,Captain Blood,Captain Blood
45,tt0340163,406,Hostage,Hostage
46,tt0068164,407,The Abductors,The Abductors
47,tt0162735,411,Vendetta,Vendetta
48,tt0363589,416,Elephant,Elephant
49,tt0398935,418,The Deputy,The Deal
50,tt0147612,424,Happiness,Happiness
51,tt0099697,427,Graveyard Shift,Graveyard Shift
52,tt0303017,452,Scorcher,Scorched
53,tt0101616,465,Coolie No. 1,Coolie No.1
54,tt0242653,468,The Matrix Revolutions,The Matrix: Revolutions
55,tt0124595,489,Return to Paradise,Return to Paradise
56,tt2138180,496,Primus Hallucino-Genetics Live 2004,Primus: Hallucino-Genetics Live 2004
57,tt0164212,499,Under Suspicion,Under Suspicion
58,tt0109129,526,Angie,Angie
59,tt0216800,534,With a Friend Like Harry...,With a Friend Like Harry
60,tt0349277,538,A Crime of Passion,A Crime of Passion
61,tt0057565,561,High and Low,High and Low
62,tt0199129,570,The Visit,The Visit
63,tt0169547,571,American Beauty,American Beauty
64,tt0056787,578,The Telegoons,The Terror
65,tt0196240,584,The Cut,The Curve
66,tt0113896,585,My Family,My Family
67,tt0111257,607,Speed,Speed
68,tt0122541,615,An Ideal Husband,An Ideal Husband
69,tt0183892,621,Armageddon,Armageddon
70,tt0342258,631,Unleashed,Unleashed
71,tt0309735,639,Jim Brown: All American,Jim Brown: All-American
72,tt0195234,660,Saving Grace,Saving Grace
73,tt0114287,662,Rob Roy,Rob Roy
74,tt0074802,665,Lipstick,Lipstick
75,tt0259419,666,The Man Who Came to Dinner,The Man Who Came to Dinner
76,tt0119670,682,The Mighty,The Mighty
77,tt0216165,685,Running Out of Time,Running Out of Time
78,tt0230030,686,Bedazzled,Bedazzled
79,tt0387490,687,Peter Jennings Reporting: The Kennedy Assassination - Beyond Conspiracy,Peter Jennings Reports: The Kennedy Assassination: Beyond Conspiracy
80,tt0104389,692,The Hand That Rocks the Cradle,The Hand that Rocks the Cradle
81,tt0117420,693,The Quest,The Quest
82,tt0408970,695,Koma,Koma
